imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	NA	   0.0411774	    0.958823	2	    0.017933	    0.982067	2	 0.000540862	   0.0406365	   0.0173921	     0.94143
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	NA	   0.0411774	    0.958823	2	    0.017933	    0.982067	2	 0.000540862	   0.0406365	   0.0173921	     0.94143
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	NA	   0.0411774	    0.958823	2	    0.017933	    0.982067	2	 0.000540862	   0.0406365	   0.0173921	     0.94143
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	NA	   0.0411774	    0.958823	2	    0.017933	    0.982067	2	 0.000540862	   0.0406365	   0.0173921	     0.94143
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	Yes	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	No	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
2	No	   0.0413786	    0.958621	2	1.82605e-302	           1	2	5.50738e-304	   0.0413786	1.77097e-302	    0.958621
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
1	NA	    0.951061	   0.0489388	1	   0.0133798	     0.98662	2	   0.0124921	    0.938569	 0.000887705	   0.0480511
1	Yes	    0.951297	   0.0487028	1	1.35613e-302	           1	2	1.26615e-302	    0.951297	8.99743e-304	   0.0487028
