imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	NA	   0.0456446	    0.954355	2	   0.0166434	    0.983357	2	  0.00063701	   0.0450076	   0.0160064	    0.938349
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	NA	    0.953593	    0.046407	1	   0.0140866	    0.985913	2	   0.0133082	    0.940285	 0.000778335	   0.0456286
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	NA	   0.0456446	    0.954355	2	   0.0166434	    0.983357	2	  0.00063701	   0.0450076	   0.0160064	    0.938349
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	NA	    0.953593	    0.046407	1	   0.0140866	    0.985913	2	   0.0133082	    0.940285	 0.000778335	   0.0456286
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	NA	   0.0456446	    0.954355	2	   0.0166434	    0.983357	2	  0.00063701	   0.0450076	   0.0160064	    0.938349
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	No	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	NA	   0.0456446	    0.954355	2	   0.0166434	    0.983357	2	  0.00063701	   0.0450076	   0.0160064	    0.938349
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	Yes	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
2	No	   0.0457694	    0.954231	2	1.69251e-302	           1	2	6.47792e-304	   0.0457694	1.62773e-302	    0.954231
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
2	NA	   0.0456446	    0.954355	2	   0.0166434	    0.983357	2	  0.00063701	   0.0450076	   0.0160064	    0.938349
1	Yes	    0.953719	   0.0462806	1	1.42878e-302	           1	2	1.34984e-302	    0.953719	7.89455e-304	   0.0462806
