imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	NA	     0.94484	   0.0551605	1	    0.012268	    0.987732	2	   0.0110655	    0.933774	   0.0012025	    0.053958
1	NA	     0.94484	   0.0551605	1	    0.012268	    0.987732	2	   0.0110655	    0.933774	   0.0012025	    0.053958
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	NA	   0.0127963	    0.987204	2	    0.021671	    0.978329	2	 0.000149864	   0.0126465	   0.0215211	    0.965683
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	NA	   0.0127963	    0.987204	2	    0.021671	    0.978329	2	 0.000149864	   0.0126465	   0.0215211	    0.965683
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	NA	     0.94484	   0.0551605	1	    0.012268	    0.987732	2	   0.0110655	    0.933774	   0.0012025	    0.053958
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	NA	     0.94484	   0.0551605	1	    0.012268	    0.987732	2	   0.0110655	    0.933774	   0.0012025	    0.053958
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	NA	     0.94484	   0.0551605	1	    0.012268	    0.987732	2	   0.0110655	    0.933774	   0.0012025	    0.053958
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	NA	   0.0127963	    0.987204	2	    0.021671	    0.978329	2	 0.000149864	   0.0126465	   0.0215211	    0.965683
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
2	Yes	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
2	No	   0.0129266	    0.987073	2	 2.2151e-302	           1	2	1.53184e-304	   0.0129266	2.19978e-302	    0.987073
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	NA	     0.94484	   0.0551605	1	    0.012268	    0.987732	2	   0.0110655	    0.933774	   0.0012025	    0.053958
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	No	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
1	NA	     0.94484	   0.0551605	1	    0.012268	    0.987732	2	   0.0110655	    0.933774	   0.0012025	    0.053958
1	Yes	    0.945372	   0.0546281	1	1.24203e-302	           1	2	1.12029e-302	    0.945372	1.21744e-303	   0.0546281
