imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	NA	    0.973792	   0.0262078	1	   0.0157947	    0.984205	2	   0.0154097	    0.958382	 0.000384959	   0.0258228
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	NA	    0.973792	   0.0262078	1	   0.0157947	    0.984205	2	   0.0154097	    0.958382	 0.000384959	   0.0258228
1	NA	    0.973792	   0.0262078	1	   0.0157947	    0.984205	2	   0.0154097	    0.958382	 0.000384959	   0.0258228
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	NA	   0.0282283	    0.971772	2	   0.0147208	    0.985279	2	 0.000446698	   0.0277816	   0.0142741	    0.957498
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	NA	   0.0282283	    0.971772	2	   0.0147208	    0.985279	2	 0.000446698	   0.0277816	   0.0142741	    0.957498
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	NA	   0.0282283	    0.971772	2	   0.0147208	    0.985279	2	 0.000446698	   0.0277816	   0.0142741	    0.957498
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	NA	   0.0282283	    0.971772	2	   0.0147208	    0.985279	2	 0.000446698	   0.0277816	   0.0142741	    0.957498
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	NA	    0.973792	   0.0262078	1	   0.0157947	    0.984205	2	   0.0154097	    0.958382	 0.000384959	   0.0258228
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	NA	   0.0282283	    0.971772	2	   0.0147208	    0.985279	2	 0.000446698	   0.0277816	   0.0142741	    0.957498
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
1	No	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
2	NA	   0.0282283	    0.971772	2	   0.0147208	    0.985279	2	 0.000446698	   0.0277816	   0.0142741	    0.957498
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	No	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	Yes	   0.0281967	    0.971803	2	1.49407e-302	           1	2	4.53372e-304	   0.0281967	1.44874e-302	    0.971803
2	NA	   0.0282283	    0.971772	2	   0.0147208	    0.985279	2	 0.000446698	   0.0277816	   0.0142741	    0.957498
1	Yes	    0.973763	   0.0262373	1	1.60482e-302	           1	2	 1.5657e-302	    0.973763	3.91137e-304	   0.0262373
