imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	NA	   0.0403623	    0.959638	2	   0.0150242	    0.984976	2	 0.000624463	   0.0397378	   0.0143997	    0.945238
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	NA	    0.962243	   0.0377571	1	   0.0154538	    0.984546	2	   0.0148873	    0.947356	  0.00056656	   0.0371905
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	NA	   0.0403623	    0.959638	2	   0.0150242	    0.984976	2	 0.000624463	   0.0397378	   0.0143997	    0.945238
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	NA	    0.962243	   0.0377571	1	   0.0154538	    0.984546	2	   0.0148873	    0.947356	  0.00056656	   0.0371905
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	NA	   0.0403623	    0.959638	2	   0.0150242	    0.984976	2	 0.000624463	   0.0397378	   0.0143997	    0.945238
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
1	No	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
1	NA	    0.962243	   0.0377571	1	   0.0154538	    0.984546	2	   0.0148873	    0.947356	  0.00056656	   0.0371905
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	No	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	Yes	    0.040344	    0.959656	2	1.52534e-302	           1	2	6.33988e-304	    0.040344	1.46194e-302	    0.959656
2	NA	   0.0403623	    0.959638	2	   0.0150242	    0.984976	2	 0.000624463	   0.0397378	   0.0143997	    0.945238
1	Yes	    0.962226	   0.0377743	1	1.56964e-302	           1	2	 1.5121e-302	    0.962226	5.75453e-304	   0.0377743
