imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	NA	   0.0291987	    0.970801	2	    0.014159	    0.985841	2	 0.000484369	   0.0287144	   0.0136746	    0.957127
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	NA	    0.924878	   0.0751225	1	   0.0164007	    0.983599	2	   0.0153425	    0.909535	  0.00105817	   0.0740643
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	NA	    0.924878	   0.0751225	1	   0.0164007	    0.983599	2	   0.0153425	    0.909535	  0.00105817	   0.0740643
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	NA	    0.924878	   0.0751225	1	   0.0164007	    0.983599	2	   0.0153425	    0.909535	  0.00105817	   0.0740643
1	NA	    0.924878	   0.0751225	1	   0.0164007	    0.983599	2	   0.0153425	    0.909535	  0.00105817	   0.0740643
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	NA	   0.0291987	    0.970801	2	    0.014159	    0.985841	2	 0.000484369	   0.0287144	   0.0136746	    0.957127
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	NA	   0.0291987	    0.970801	2	    0.014159	    0.985841	2	 0.000484369	   0.0287144	   0.0136746	    0.957127
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	NA	    0.924878	   0.0751225	1	   0.0164007	    0.983599	2	   0.0153425	    0.909535	  0.00105817	   0.0740643
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	NA	   0.0291987	    0.970801	2	    0.014159	    0.985841	2	 0.000484369	   0.0287144	   0.0136746	    0.957127
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	NA	    0.924878	   0.0751225	1	   0.0164007	    0.983599	2	   0.0153425	    0.909535	  0.00105817	   0.0740643
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	NA	   0.0291987	    0.970801	2	    0.014159	    0.985841	2	 0.000484369	   0.0287144	   0.0136746	    0.957127
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	No	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	NA	   0.0291987	    0.970801	2	    0.014159	    0.985841	2	 0.000484369	   0.0287144	   0.0136746	    0.957127
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	Yes	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
2	No	   0.0291268	    0.970873	2	1.43624e-302	           1	2	4.91326e-304	   0.0291268	 1.3871e-302	    0.970873
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
2	NA	   0.0291987	    0.970801	2	    0.014159	    0.985841	2	 0.000484369	   0.0287144	   0.0136746	    0.957127
1	Yes	    0.924701	   0.0752993	1	1.66742e-302	           1	2	1.55983e-302	    0.924701	1.07581e-303	   0.0752993
