imp	ST006Q04TA	theta#1	theta#2	theta#	LATENTST006Q04TA#1	LATENTST006Q04TA#2	LATENTST006Q04TA#	jf0_1_1	jf0_1_2	jf0_2_1	jf0_2_2
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	NA	    0.964973	   0.0350267	1	   0.0124989	    0.987501	2	   0.0117908	    0.953182	 0.000708126	   0.0343186
1	NA	    0.964973	   0.0350267	1	   0.0124989	    0.987501	2	   0.0117908	    0.953182	 0.000708126	   0.0343186
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	NA	   0.0367812	    0.963219	2	   0.0199226	    0.980077	2	 0.000449422	   0.0363318	   0.0194731	    0.943746
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	NA	   0.0367812	    0.963219	2	   0.0199226	    0.980077	2	 0.000449422	   0.0363318	   0.0194731	    0.943746
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	NA	    0.964973	   0.0350267	1	   0.0124989	    0.987501	2	   0.0117908	    0.953182	 0.000708126	   0.0343186
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	NA	   0.0367812	    0.963219	2	   0.0199226	    0.980077	2	 0.000449422	   0.0363318	   0.0194731	    0.943746
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	NA	    0.964973	   0.0350267	1	   0.0124989	    0.987501	2	   0.0117908	    0.953182	 0.000708126	   0.0343186
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	NA	   0.0367812	    0.963219	2	   0.0199226	    0.980077	2	 0.000449422	   0.0363318	   0.0194731	    0.943746
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	Yes	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	No	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	NA	   0.0367812	    0.963219	2	   0.0199226	    0.980077	2	 0.000449422	   0.0363318	   0.0194731	    0.943746
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	No	   0.0370703	     0.96293	2	2.03275e-302	           1	2	4.58557e-304	   0.0370703	 1.9869e-302	     0.96293
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
2	NA	   0.0367812	    0.963219	2	   0.0199226	    0.980077	2	 0.000449422	   0.0363318	   0.0194731	    0.943746
1	Yes	    0.965247	    0.034753	1	1.26571e-302	           1	2	  1.194e-302	    0.965247	7.17088e-304	    0.034753
